index,mean,std
1,378.710993,217.9076181
2,43.9417166,7.071066396
3,305.6668526,301.2342094
4,39.5663308,18.36984987
5,680.2312056,84.43904934
6,825.296538,36.59115022
7,854.1801502,61.69880182
8,875.3700148,35.69058821
9,890.7536336,41.686265
10,991.7771148,16.14123546
11,1050.445989,14.47543473
12,1038.488003,41.44089291
13,997.0616178,89.16827633
14,1055.321593,18.50957388
15,1048.033391,34.26063151
16,1195.382561,46.31798852
17,1461.575382,24.56392966
18,1513.343102,10.6719259
19,1536.365496,16.3670508
20,1524.436883,13.70555173
21,1622.898033,21.83768058
22,1643.678843,37.38249573
23,1639.902425,89.56063127
24,1705.48011,50.8791928
25,1830.520674,25.62704028
26,1881.088416,38.12310088
27,1939.045206,20.8489
28,1957.752717,18.00948421
29,1999.58959,13.02961151
30,2024.479296,15.18071496
31,2081.145586,13.36719359
32,2071.396153,47.04012117
33,2110.270303,22.01545835
34,2132.682379,30.3284702
35,2203.801462,10.75098689
36,2173.27878,26.63630812
37,2204.503046,17.95281528
38,2259.38206,30.20597738
39,2271.024411,43.34838727
40,2287.969964,33.93308928
41,2302.832074,23.37035579
42,2365.550528,17.87699454
43,2346.436033,41.68768127
44,2340.576118,48.6994748
45,2373.877464,41.90281315
46,2404.419387,17.38704685
47,2375.23594,10.37876671
48,2389.744635,86.49380454
49,2478.249667,10.32017761
50,2495.91888,23.94192339
51,2454.994383,50.12221406
52,2461.300163,22.28566771
53,2434.398999,78.73416771
54,2472.815384,177.2878154
55,2466.85945,241.9012039
56,2525.889886,39.31457762
57,2573.124236,41.54741165
58,2514.544925,85.59710859
59,2490.668785,161.4999698
60,2470.222385,181.8328762
61,2480.298561,130.3406782
62,2497.871836,175.7341131
63,2525.689856,143.6962083
64,2515.530584,126.5941309
65,2374.691947,262.3676738
66,2586.292939,41.30426688
67,2554.170126,206.0156875
68,2556.515858,192.9692409
69,2493.931193,264.9998403
70,2665.472265,78.88004187
71,2689.134447,71.22068717
72,2266.844433,997.3766264
73,2797.565542,62.00054182
74,2778.631381,20.38913426
75,2845.114258,33.85954889
76,2711.793112,112.5232029
77,2717.831926,279.7267871
78,2873.575274,21.64577918
79,2861.730496,60.98101305
80,2852.314886,41.3811515
81,2845.992323,59.30022981
82,2819.88827,53.61224611
83,2791.609998,122.1562965
84,2920.629974,40.47497507
85,2770.394258,51.62738846
86,2815.602484,56.06263559
87,2713.089804,244.5377763
88,2883.550682,28.39431482
89,2916.097205,36.66499444
90,2953.556909,51.93965538
91,2968.669349,52.77809684
92,2927.496445,54.71301963
93,2997.162921,29.02801496
94,2997.667758,36.0735764
95,3070.54766,22.23535783
96,3002.353064,40.82821839
97,2987.312982,64.76272118
98,3003.976502,29.49887408
99,2987.168767,27.4186254
100,2936.934319,47.47936629
