index,mean,std
2,1014.7167796257922,137.28176178570718
4,1035.818269833641,188.73710209719692
6,998.1824651663247,159.20015321353458
8,1026.890358561385,105.63416378982338
10,936.9622150604366,160.8345942278432
12,989.3313756694965,178.40604644132662
14,1001.1724894374297,152.1989966923008
16,1025.3210397666146,191.44070970506368
18,956.5021261451973,164.5485329674219
20,949.4225724036089,143.18881064820957
22,959.7738857975917,145.90917504600566
24,1002.100797995988,146.6515543638809
26,990.106023090803,136.5306078783631
28,954.4131283620688,170.39592048728127
30,963.1928230259088,166.79960991924946
32,1005.5208752299112,136.0793710908839
34,992.9495951756222,131.5274817112536
36,1008.4217457490967,165.1454905054739
38,1038.9854539307194,184.78374491466943
40,1048.2973643175544,165.93354430042996
42,937.6218041215169,150.6184317036809
44,923.6224474609163,118.70219614087458
46,914.3064212580683,80.97536856019084
48,921.7573277274025,79.32447999830532
50,902.591767085141,101.73948943205298
52,954.3329846853878,100.0097336285647
54,958.6817640595307,131.58774531755273
56,956.1058550395867,102.4260061636482
58,938.7106101469714,161.5149592267498
60,952.7192702487627,115.82625551393038
62,986.2249735995559,133.16184537262637
64,918.4016776451493,109.30648175869398
66,940.9459824622247,98.66671314724861
68,922.2522237104621,70.83047125802354
70,944.5652712063988,122.74145861213508
72,919.9813946946564,124.45223728627316
74,906.3070598030006,81.89373743389854
76,964.6563826899245,124.43245231001487
78,965.2139730609672,168.44905275867725
80,931.9430872152377,90.20157783566489
82,1002.623304920733,156.66695983879058
84,970.8915414003889,177.07747998774104
86,1000.8784979381784,136.7473579261047
88,975.5987613514473,149.23582432389844
90,945.5302196541303,89.10703323928843
92,936.4027198273255,81.48330880908954
94,922.9688761694033,65.6358715629697
96,900.0613833672319,94.78221938665433
98,919.1447195913084,89.98506756928583
100,962.8148503621036,82.14784907383883
