index,mean,std
2,926.0921525838422,180.7298391485824
4,1032.460925148486,138.1044997749759
6,993.2182822816535,179.6645201057125
8,986.8795785635388,179.13780545397464
10,1007.5646841550082,153.50519803863963
12,957.6767665641656,183.7987338689899
14,1062.1477502685557,137.06838834580475
16,966.5352003929197,164.51874737136197
18,1001.3632566880918,154.07889786931702
20,993.6797260936717,147.01364331543166
22,901.4774596519452,156.1801482461895
24,967.7854739487431,153.93159027588484
26,996.8412962373736,167.9560216409543
28,987.6900257686946,134.03016133940378
30,1045.4808743289298,157.39240305023426
32,991.8269367273983,164.6078031660833
34,963.7987447001982,153.2457653224084
36,991.7922647936674,114.95017329494667
38,972.3027827616777,142.5850205494209
40,959.5982886254747,157.5737682265463
42,948.9131442582822,151.17271199159444
44,945.7823707775708,158.89965868057874
46,1014.9630697434947,181.83393768875362
48,982.8504073427163,168.0569735057387
50,984.541775948329,142.69221780850663
52,975.1471983683888,179.36824221171003
54,985.7462990554627,173.11920418118606
56,1003.7081878850881,140.80338850758915
58,962.5340425345346,151.91553853745907
60,980.1936262935068,120.93505133447007
62,958.0467193005136,173.12367802555926
64,1014.3413443173108,138.96101433143417
66,980.1007891690734,163.00839333824607
68,999.4686516113343,154.4634963068973
70,1013.9693366920033,164.69820597505512
72,1013.8022584209092,164.14406871387857
74,956.6232576023384,138.44125976024372
76,980.9308785782989,181.4438560840718
78,984.572076238843,142.62237248755034
80,1022.8071265359699,148.85739193317494
82,1018.9645550728245,140.57945401830867
84,1033.1999204780775,137.18959929548345
86,996.7397976758307,159.42027792663438
88,977.7848957441314,183.66956780845828
90,1036.7941899520142,137.0617170109006
92,967.2209778403831,161.11318439724678
94,970.980300152908,196.2317032848385
96,987.4253596933236,194.95004037570348
98,1006.3461549698725,141.15051582401182
100,1024.2706785004875,164.7815280189304
