index,mean,std
2,901.8636355424659,73.68435759823585
4,901.3444553632758,85.89723717806913
6,1022.3423303902476,136.01850180406157
8,979.1473490455872,142.22393971731097
10,963.3261593584167,147.8175440590841
12,981.6861167851689,233.66994672463892
14,995.870896870675,147.10307452156857
16,996.57848246647,181.16116274526635
18,974.3594587518575,225.57925586976677
20,972.3215097006821,111.32931560530281
22,985.9009974443495,248.90771127596508
24,1050.6066776447722,124.19439588447254
26,958.9668117950735,166.4269782674618
28,1002.3917647193514,162.01935235626385
30,971.1939622123023,143.8567081558394
32,986.5272454271167,183.12328767545787
34,989.7748011373856,144.44964779089415
36,951.833471119022,143.74634909786602
38,1001.7229774474215,154.23583979983738
40,1070.7493738375954,124.15823109936896
42,992.5025698177537,164.10692734938968
44,995.9573315602981,170.6118012817518
46,951.040867780868,137.46616940335701
48,980.0684244637883,140.5317394989842
50,992.1644940497342,173.71516881991587
52,968.1131553491745,171.96875021688138
54,960.5184619994598,126.85811993638436
56,1046.015881107653,121.95505383331562
58,983.6840384865304,130.84451960703828
60,971.268545720595,133.9793075585739
62,1054.5415507932405,168.83437191789386
64,992.526583674176,165.0392891382282
66,945.314934977514,175.28991003381168
68,956.6542512988624,114.14513291855174
70,954.5257273616318,147.22229809873133
72,952.5776131797053,189.9592122172383
74,1008.9899824626424,151.04746629869376
76,1007.7026137032411,184.55002281519194
78,956.6812648437855,158.24601106057995
80,984.4335578473513,181.7991792367548
82,978.5684763872308,200.80420295435437
84,1000.2814702448118,158.51051685757693
86,974.8801880628948,147.71164726947998
88,1027.017565976609,141.64168249141923
90,1005.5250088323003,135.48566382995614
92,983.3793516729462,142.22427858863637
94,999.5267702364405,146.73697927468172
96,1030.5007132053854,128.99042145479655
98,968.2722393912657,154.2879357694427
100,1026.004408216961,151.8814213371199
