index,mean,std
2,1208.3407705749032,257.0044187683739
4,990.8429510728454,127.02318748749684
6,914.0192072899135,225.13518291069454
8,988.0603348623193,91.4411758066465
10,1086.3146632339972,81.95487002268445
12,1162.6440545054088,152.39438549949188
14,995.3909449500794,179.09446646977648
16,983.4075832458244,58.34953356806451
18,978.3944792742739,62.03187134942388
20,931.7312748578821,107.60071440204507
22,870.2406105523336,48.94654909185027
24,1079.8752978174914,66.46853991852306
26,1040.0101779588151,129.94708112781478
28,1044.6022850055604,157.54422844080085
30,958.9931287010455,109.10628188496962
